date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:29:14	484111/484111	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2018:29:13%20GMT	https://stalking.by/praktikum-klyuchi-peregovorshchika	./stalking-copy/stalking.by/praktikum-klyuchi-peregovorshchika.html	(from https://stalking.by/)
21:29:14	1092045/1092045	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2018:29:11%20GMT	https://stalking.by/online-tekhnologiya-postroyeniya-uspeshnoy-komandy	./stalking-copy/stalking.by/online-tekhnologiya-postroyeniya-uspeshnoy-komandy.html	(from https://stalking.by/)
21:29:16	664590/664590	---M--	200	added ('OK')	image/png	etag:%226900896c-a240e%22	https://stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_2sfRCQjy.png	./stalking-copy/stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_2sfRCQjy.png	(from https://stalking.by/)
21:29:17	1081416/1081416	---M--	200	added ('OK')	image/jpeg	etag:%225bbf0be6-108048%22	https://stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_HIldYgM6.jpg	./stalking-copy/stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_HIldYgM6.jpg	(from https://stalking.by/)
21:29:17	756506/756506	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2018:29:17%20GMT	https://stalking.by/mastierstvo-aktivnykh-prodazh-versija-2	./stalking-copy/stalking.by/mastierstvo-aktivnykh-prodazh-versija-2.html	(from https://stalking.by/)
21:29:19	323185/323185	---M--	200	added ('OK')	image/jpeg	etag:%2269006bd9-4ee71%22	https://stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_W96dnwn3.jpg	./stalking-copy/stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_W96dnwn3.jpg	(from https://stalking.by/)
21:29:21	753224/753224	---M--	200	added ('OK')	image/png	etag:%22610ba5d3-b7e48%22	https://stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_quM26Tvr.png	./stalking-copy/stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_quM26Tvr.png	(from https://stalking.by/)
21:29:24	597104/597104	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2018:29:22%20GMT	https://stalking.by/practicum_upravlenie_personalom_na_osnove_emocij	./stalking-copy/stalking.by/practicum_upravlenie_personalom_na_osnove_emocij.html	(from https://stalking.by/)
21:29:25	450211/450211	---M--	200	added ('OK')	image/png	etag:%2265703803-6dea3%22	https://stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_nIPptPNm.png	./stalking-copy/stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_nIPptPNm.png	(from https://stalking.by/)
21:29:25	632703/632703	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2018:29:25%20GMT	https://stalking.by/praktikum_vvedenijie_v_dolzhnosc_i_adaptacijya	./stalking-copy/stalking.by/praktikum_vvedenijie_v_dolzhnosc_i_adaptacijya.html	(from https://stalking.by/)
21:29:27	126076/126076	---M--	200	added ('OK')	image/jpeg	etag:%22620a1834-1ec7c%22	https://stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_0wwPUfsY.jpg	./stalking-copy/stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_0wwPUfsY.jpg	(from https://stalking.by/)
21:29:28	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Nov%202025%2018:29:28%20GMT	https://stalking.by/raspisanije_programm	./stalking-copy/stalking.by/raspisanije_programm.38.delayed	(from https://stalking.by/)
21:29:29	444072/444072	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Nov%202025%2018:29:27%20GMT	https://stalking.by/peregovornie_poedinki	./stalking-copy/stalking.by/peregovornie_poedinki.html	(from https://stalking.by/)
21:29:30	27852/27852	---M--	200	added ('OK')	image/webp	etag:%225c1c9f48-42307%22	https://stalking.by/__scale/uploads/s/6/w/h/6whrld5fkvfl/img/full_b7lp0Q1N.png?quality=85&width=580&webp=1	./stalking-copy/stalking.by/__scale/uploads/s/6/w/h/6whrld5fkvfl/img/full_b7lp0Q1N96a3.png	(from https://stalking.by/)
21:29:35	271111/271111	---M--	200	added ('OK')	image/png	etag:%225c1c9f48-42307%22	https://stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_b7lp0Q1N.png	./stalking-copy/stalking.by/uploads/s/6/w/h/6whrld5fkvfl/img/full_b7lp0Q1N.png	(from https://stalking.by/)
